"Results","Agent","Map","Placement","Duration (min)","Average Rank of Match","Average Combat Score (ACS)","A","K/D","Average Damage Per Round (ADR)","HS%","KAST%","First Kill","First Death","MK (Multikill)","Econ"
"1",50.6666666666667,49.2753623188406,45.8823529411765,38,53.3333333333333,154,5,0.666666666666667,110,31,74,2,2,0,48
"0",50.6666666666667,51.7241379310345,75,42,44.8275862068966,225,5,0.904761904761905,138.6,21,75,1,1,1,52
"1",50.6666666666667,51.5625,53.3333333333333,34,44.8275862068966,201,7,0.875,132.9,26,71,2,2,1,66
"0",50.6666666666667,52.112676056338,42.4657534246575,40,54.8387096774194,176,5,0.55,117,23,64,1,3,1,49
"0",33.3333333333333,52.112676056338,42.1052631578947,29,44.8275862068966,60,1,0.2,38.9,26,39,0,2,0,15
"0",50.6666666666667,51.7241379310345,53.3333333333333,21,44.8275862068966,173,0,0.642857142857143,106.3,17,60,1,3,0,45
"0",50.6666666666667,52.112676056338,59.2592592592593,30,44.8275862068966,141,3,0.529411764705882,79.4,14,56,1,2,0,34
"0",50.6666666666667,51.7241379310345,45.8823529411765,31,54.8387096774194,89,4,0.2,63.5,0,50,0,1,0,26
"1",50.6666666666667,49.3150684931507,45.8823529411765,32,50,145,9,0.7,95.9,14,82,1,2,0,40
"0",50.6666666666667,51.7241379310345,42.1052631578947,33,44.8275862068966,150,6,0.529411764705882,106.1,24,50,1,2,0,43
"0",50.6666666666667,49.2753623188406,42.1052631578947,43,53.3333333333333,148,5,0.578947368421053,73,16,59,2,2,1,28
"0",50.6666666666667,51.5625,59.2592592592593,27,44.8275862068966,162,4,0.466666666666667,103.9,7,59,0,2,1,47
"1",50.6666666666667,49.2753623188406,45.8823529411765,33,53.3333333333333,100,2,0.5,120.9,19,74,0,3,0,56
"1",33.3333333333333,51.5625,42.4657534246575,30,53.3333333333333,204,4,1.3,123.3,22,89,3,1,1,58
"1",50.6666666666667,49.3150684931507,42.4657534246575,44,44.8275862068966,178,2,0.882352941176471,110.5,23,54,2,1,1,47
"0",50.6666666666667,49.3150684931507,45.8823529411765,39,54.8387096774194,91,7,0.263157894736842,83.3,11,45,0,4,0,35
"0",50.6666666666667,49.2753623188406,59.2592592592593,27,54.8387096774194,150,5,0.466666666666667,114,13,62,0,2,0,57
"0",50.6666666666667,51.7241379310345,42.1052631578947,17,44.8275862068966,56,3,0.222222222222222,57.8,10,42,0,4,0,31
"0",50.6666666666667,52.112676056338,42.1052631578947,40,44.8275862068966,120,5,0.421052631578947,134.2,29,71,1,1,0,52
"1",50.6666666666667,49.2753623188406,45.8823529411765,39,53.3333333333333,151,8,0.705882352941177,92.8,13,74,2,4,1,38
"1",50.6666666666667,52.112676056338,45.8823529411765,47,53.3333333333333,134,7,0.733333333333333,93.5,13,79,1,1,0,49
"0",50.6666666666667,52.112676056338,53.3333333333333,32,44.8275862068966,163,4,0.555555555555556,128.4,28,55,1,4,0,46
"1",50.6666666666667,52.112676056338,42.1052631578947,33,44.8275862068966,125,7,0.5,99.7,9,65,1,0,0,45
"1",50.6666666666667,51.5625,42.4657534246575,39,44.8275862068966,210,9,1.125,148.3,31,83,1,0,2,72
"0",50.6666666666667,49.2753623188406,42.1052631578947,35,53.3333333333333,105,3,0.533333333333333,71,25,67,1,0,0,35
"1",50.6666666666667,49.2753623188406,42.4657534246575,27,44.8275862068966,170,8,0.888888888888889,116.3,20,100,2,0,2,60
"0",50.6666666666667,49.3150684931507,42.4657534246575,42,53.3333333333333,192,7,0.736842105263158,144.8,29,58,6,4,0,59
"0",50.6666666666667,52.112676056338,59.2592592592593,32,44.8275862068966,125,5,0.466666666666667,100.8,26,68,1,2,0,45
"1",50.6666666666667,49.3150684931507,42.1052631578947,45,44.8275862068966,122,4,0.611111111111111,182.1,22,65,1,1,0,80
"1",100,51.7241379310345,45.8823529411765,43,50,109,4,0.555555555555556,76.6,15,52,0,5,0,34
"1",71.4285714285714,49.2753623188406,42.4657534246575,46,53.3333333333333,194,12,0.75,236.1,18,82,1,2,1,112
"0",33.3333333333333,51.7241379310345,45.8823529411765,27,53.3333333333333,144,1,0.583333333333333,158,21,44,0,1,0,81
"0",50.6666666666667,52.112676056338,55.5555555555556,50,50,290,6,1.70588235294118,226.9,24,86,4,1,3,109
"0",50.6666666666667,49.3150684931507,42.1052631578947,37,44.8275862068966,121,4,0.5625,92.2,31,67,1,5,0,40
"1",50.6666666666667,51.5625,53.3333333333333,10,53.3333333333333,157,0,2.5,101.4,80,186,0,0,0,88
"1",50.6666666666667,49.3150684931507,45.8823529411765,28,54.8387096774194,113,4,0.6,87.1,15,71,0,4,0,52
"1",50.6666666666667,51.5625,45.8823529411765,25,53.3333333333333,109,6,0.5,83.8,5,87,2,1,0,46
"0",33.3333333333333,51.7241379310345,42.4657534246575,33,53.3333333333333,203,3,1,125.6,18,68,1,2,0,61
"0",33.3333333333333,52.112676056338,59.2592592592593,42,50,147,14,0.5,131.3,15,71,1,4,0,59
"0",50.6666666666667,52.112676056338,53.3333333333333,34,50,250,8,1,184.6,15,75,3,0,1,76
"1",50.6666666666667,51.7241379310345,55.5555555555556,25,50,270,6,1.36363636363636,181.4,13,75,3,2,1,78
"0",50.6666666666667,52.112676056338,45.8823529411765,24,44.8275862068966,100,2,0.153846153846154,75.5,5,23,1,1,0,28
"1",50.6666666666667,49.2753623188406,45.8823529411765,41,44.8275862068966,143,7,0.8125,102.9,16,65,0,1,0,47
"1",33.3333333333333,51.7241379310345,59.2592592592593,38,44.8275862068966,150,4,0.666666666666667,110.9,19,79,3,2,1,45
