"Results","Agent","Map","Placement","Average Rank of Match","Average Combat Score (ACS)","K/D","KAST%","First Death"
"1",50.6666666666667,49.2753623188406,45.8823529411765,53.3333333333333,154,0.666666666666667,74,2
"0",50.6666666666667,51.7241379310345,75,44.8275862068966,225,0.904761904761905,75,1
"1",50.6666666666667,51.5625,53.3333333333333,44.8275862068966,201,0.875,71,2
"0",50.6666666666667,52.112676056338,42.4657534246575,54.8387096774194,176,0.55,64,3
"0",33.3333333333333,52.112676056338,42.1052631578947,44.8275862068966,60,0.2,39,2
"0",50.6666666666667,51.7241379310345,53.3333333333333,44.8275862068966,173,0.642857142857143,60,3
"0",50.6666666666667,52.112676056338,59.2592592592593,44.8275862068966,141,0.529411764705882,56,2
"0",50.6666666666667,51.7241379310345,45.8823529411765,54.8387096774194,89,0.2,50,1
"1",50.6666666666667,49.3150684931507,45.8823529411765,50,145,0.7,82,2
"0",50.6666666666667,51.7241379310345,42.1052631578947,44.8275862068966,150,0.529411764705882,50,2
"0",50.6666666666667,49.2753623188406,42.1052631578947,53.3333333333333,148,0.578947368421053,59,2
"0",50.6666666666667,51.5625,59.2592592592593,44.8275862068966,162,0.466666666666667,59,2
"1",50.6666666666667,49.2753623188406,45.8823529411765,53.3333333333333,100,0.5,74,3
"1",33.3333333333333,51.5625,42.4657534246575,53.3333333333333,204,1.3,89,1
"1",50.6666666666667,49.3150684931507,42.4657534246575,44.8275862068966,178,0.882352941176471,54,1
"0",50.6666666666667,49.3150684931507,45.8823529411765,54.8387096774194,91,0.263157894736842,45,4
"0",50.6666666666667,49.2753623188406,59.2592592592593,54.8387096774194,150,0.466666666666667,62,2
"0",50.6666666666667,51.7241379310345,42.1052631578947,44.8275862068966,56,0.222222222222222,42,4
"0",50.6666666666667,52.112676056338,42.1052631578947,44.8275862068966,120,0.421052631578947,71,1
"1",50.6666666666667,49.2753623188406,45.8823529411765,53.3333333333333,151,0.705882352941177,74,4
"1",50.6666666666667,52.112676056338,45.8823529411765,53.3333333333333,134,0.733333333333333,79,1
"0",50.6666666666667,52.112676056338,53.3333333333333,44.8275862068966,163,0.555555555555556,55,4
"1",50.6666666666667,52.112676056338,42.1052631578947,44.8275862068966,125,0.5,65,0
"1",50.6666666666667,51.5625,42.4657534246575,44.8275862068966,210,1.125,83,0
"0",50.6666666666667,49.2753623188406,42.1052631578947,53.3333333333333,105,0.533333333333333,67,0
"1",50.6666666666667,49.2753623188406,42.4657534246575,44.8275862068966,170,0.888888888888889,100,0
"0",50.6666666666667,49.3150684931507,42.4657534246575,53.3333333333333,192,0.736842105263158,58,4
"0",50.6666666666667,52.112676056338,59.2592592592593,44.8275862068966,125,0.466666666666667,68,2
"1",50.6666666666667,49.3150684931507,42.1052631578947,44.8275862068966,122,0.611111111111111,65,1
"1",100,51.7241379310345,45.8823529411765,50,109,0.555555555555556,52,5
"1",71.4285714285714,49.2753623188406,42.4657534246575,53.3333333333333,194,0.75,82,2
"0",33.3333333333333,51.7241379310345,45.8823529411765,53.3333333333333,144,0.583333333333333,44,1
"0",50.6666666666667,52.112676056338,55.5555555555556,50,290,1.70588235294118,86,1
"0",50.6666666666667,49.3150684931507,42.1052631578947,44.8275862068966,121,0.5625,67,5
"1",50.6666666666667,51.5625,53.3333333333333,53.3333333333333,157,2.5,186,0
